Switches; Producers; Consumers; Time
1;1;1;8.9682e-05
1;1;2;0.00011045400000000006
1;1;5;0.00012905800000000004
1;1;10;0.0001534399999999999
1;1;20;0.00018546199999999995
1;1;30;0.0002340459999999999
1;1;40;0.00030078199999999987
1;1;50;0.00036895799999999996
1;2;1;0.00010040200000000009
1;2;2;0.00012023599999999991
1;2;5;0.0001382759999999999
1;2;10;0.00017318999999999993
1;2;20;0.00026866999999999993
1;2;30;0.00038585399999999993
1;2;40;0.000481998
1;2;50;0.000592862
1;5;1;0.00012927199999999994
1;5;2;0.00014134200000000003
1;5;5;0.000182146
1;5;10;0.00030703799999999993
1;5;20;0.000551246
1;5;30;0.000820318
1;5;40;0.0010794059999999998
1;5;50;0.001341086
1;10;1;0.00013694800000000002
1;10;2;0.000165826
1;10;5;0.0003067339999999999
1;10;10;0.0005568139999999999
1;10;20;0.001061982
1;10;30;0.0015684459999999998
1;10;40;0.002074238
1;10;50;0.002581374
1;20;1;0.00017473800000000002
1;20;2;0.00027134199999999994
1;20;5;0.000566446
1;20;10;0.001058622
1;20;20;0.002036078
1;20;30;0.0030640299999999997
1;20;40;0.004068398
1;20;50;0.005072302
1;30;1;0.00023383799999999988
1;30;2;0.0003843499999999999
1;30;5;0.0008178059999999999
1;30;10;0.0015654699999999998
1;30;20;0.0030013899999999996
1;30;30;0.004567998
1;30;40;0.00606747
1;30;50;0.007567613999999999
1;40;1;0.0003047340000000001
1;40;2;0.0005036139999999999
1;40;5;0.001084766
1;40;10;0.0020703979999999998
1;40;20;0.004042302
1;40;30;0.006070974
1;40;40;0.008067214
1;40;50;0.010062782
1;50;1;0.000369566
1;50;2;0.000612446
1;50;5;0.001337422
1;50;10;0.002577294
1;50;20;0.005002046
1;50;30;0.007575246
1;50;40;0.010066909999999998
1;50;50;0.012557421999999999
2;1;1;8.974099999999995e-05
2;1;2;9.3042e-05
2;1;5;0.00013725200000000003
2;1;10;0.00013898600000000001
2;1;20;0.00016883200000000005
2;1;30;0.00020463800000000004
2;1;40;0.00026022200000000006
2;1;50;0.000319534
2;2;1;0.00011081399999999988
2;2;2;0.00013362500000000006
2;2;5;0.00014620600000000007
2;2;10;0.0001692
2;2;20;0.000269006
2;2;30;0.00038031799999999993
2;2;40;0.0004889899999999999
2;2;50;0.0005968620000000001
2;5;1;0.0001449559999999999
2;5;2;0.000150484
2;5;5;0.00019481199999999994
2;5;10;0.0003338219999999999
2;5;20;0.000607326
2;5;30;0.0008970219999999999
2;5;40;0.001167758
2;5;50;0.0014519339999999998
2;10;1;0.000157082
2;10;2;0.00019436999999999992
2;10;5;0.0003508140000000001
2;10;10;0.0006303179999999999
2;10;20;0.0011835499999999998
2;10;30;0.0017535340000000002
2;10;40;0.002304942
2;10;50;0.0028634059999999998
2;20;1;0.00023244600000000008
2;20;2;0.00033180600000000003
2;20;5;0.000655182
2;20;10;0.0012169580000000002
2;20;20;0.002361198
2;20;30;0.003460894
2;20;40;0.00459155
2;20;50;0.005719038
2;30;1;0.00034038199999999997
2;30;2;0.00047110199999999994
2;30;5;0.00096955
2;30;10;0.0018122860000000002
2;30;20;0.0035232939999999997
2;30;30;0.005227966
2;30;40;0.006867934
2;30;50;0.008588974
2;40;1;0.000442542
2;40;2;0.000619294
2;40;5;0.00127187
2;40;10;0.00239715
2;40;20;0.004586318
2;40;30;0.006915022000000001
2;40;40;0.009240941999999999
2;40;50;0.011433662
2;50;1;0.0005390379999999999
2;50;2;0.0007594539999999999
2;50;5;0.001579422
2;50;10;0.002998814
2;50;20;0.005772942
2;50;30;0.008574094
2;50;40;0.011528366000000002
2;50;50;0.014380014
5;1;1;9.001800000000009e-05
5;1;2;9.562900000000007e-05
5;1;5;0.00014341799999999997
5;1;10;0.00015323000000000008
5;1;20;0.00019848
5;1;30;0.00026481399999999993
5;1;40;0.00033715000000000004
5;1;50;0.0004105739999999999
5;2;1;9.647699999999998e-05
5;2;2;0.00013918399999999988
5;2;5;0.00015081899999999995
5;2;10;0.00020780800000000008
5;2;20;0.0003406539999999999
5;2;30;0.0004957259999999999
5;2;40;0.00068139
5;2;50;0.000814558
5;5;1;0.00015020399999999992
5;5;2;0.00015995099999999997
5;5;5;0.00024361400000000007
5;5;10;0.00043442999999999997
5;5;20;0.000844958
5;5;30;0.00128627
5;5;40;0.0016195659999999998
5;5;50;0.001990926
5;10;1;0.00018859400000000004
5;10;2;0.000246046
5;10;5;0.0004742379999999999
5;10;10;0.000876382
5;10;20;0.001692126
5;10;30;0.00245915
5;10;40;0.0031870859999999996
5;10;50;0.003912846
5;20;1;0.0003014859999999999
5;20;2;0.000440974
5;20;5;0.00093699
5;20;10;0.001823182
5;20;20;0.0032923019999999996
5;20;30;0.004735646
5;20;40;0.006231774
5;20;50;0.007690654000000001
5;30;1;0.000466494
5;30;2;0.00067051
5;30;5;0.001537358
5;30;10;0.002662238
5;30;20;0.004847326
5;30;30;0.007076318000000001
5;30;40;0.009261598
5;30;50;0.011435774
5;40;1;0.0006147659999999999
5;40;2;0.000883822
5;40;5;0.001999534
5;40;10;0.003486558
5;40;20;0.006401406
5;40;30;0.009335486
5;40;40;0.01233051
5;40;50;0.015159902
5;50;1;0.0008007019999999999
5;50;2;0.001146158
5;50;5;0.002451262
5;50;10;0.004287646
5;50;20;0.007961277999999999
5;50;30;0.011617645999999999
5;50;40;0.01525595
5;50;50;0.018950302
10;1;1;9.537799999999991e-05
10;1;2;0.00010362999999999995
10;1;5;0.00015538300000000004
10;1;10;0.00016642999999999996
10;1;20;0.000246572
10;1;30;0.00034911800000000004
10;1;40;0.000449166
10;1;50;0.000554798
10;2;1;0.00010618499999999996
10;2;2;0.00014820999999999997
10;2;5;0.000164635
10;2;10;0.0002524019999999999
10;2;20;0.000438782
10;2;30;0.0006696619999999999
10;2;40;0.000881454
10;2;50;0.00108867
10;5;1;0.00015786399999999996
10;5;2;0.000178063
10;5;5;0.0003175019999999999
10;5;10;0.000583294
10;5;20;0.00111275
10;5;30;0.001614958
10;5;40;0.002138526
10;5;50;0.002789854
10;10;1;0.00019715399999999995
10;10;2;0.0003056459999999999
10;10;5;0.000617486
10;10;10;0.001147502
10;10;20;0.002238846
10;10;30;0.0034586219999999997
10;10;40;0.004498702
10;10;50;0.005628958
10;20;1;0.00034547000000000007
10;20;2;0.000545502
10;20;5;0.0012354380000000002
10;20;10;0.002366478
10;20;20;0.004725662
10;20;30;0.006850574000000001
10;20;40;0.009058670000000001
10;20;50;0.01116491
10;30;1;0.0005164939999999999
10;30;2;0.000855742
10;30;5;0.0019113899999999998
10;30;10;0.003829326
10;30;20;0.007058813999999999
10;30;30;0.010318318
10;30;40;0.013411501999999999
10;30;50;0.016458221999999998
10;40;1;0.000714318
10;40;2;0.001154206
10;40;5;0.002651022
10;40;10;0.00510091
10;40;20;0.00941067
10;40;30;0.013579069999999999
10;40;40;0.017730766
10;40;50;0.021619437999999998
10;50;1;0.000937502
10;50;2;0.00144635
10;50;5;0.003406462
10;50;10;0.006375822
10;50;20;0.011726701999999999
10;50;30;0.016761486
10;50;40;0.021856094
10;50;50;0.026984958
